participant,level,obj,x,y,success
603415af8ffaaa1ada99d014,Comp_GapCatapult,478.0,572.0,obj2,0
603415af8ffaaa1ada99d014,Comp_GapCatapult,333.0,514.0,obj2,0
603415af8ffaaa1ada99d014,Comp_GapCatapult,141.0,476.0,obj3,1
603415af8ffaaa1ada99d014,Comp_SoCloseLaunch,161.0,289.0,obj3,0
603415af8ffaaa1ada99d014,Comp_SoCloseLaunch,264.0,264.0,obj3,1
603415af8ffaaa1ada99d014,Comp_UnboxSlope,121.0,563.0,obj1,0
603415af8ffaaa1ada99d014,Comp_UnboxSlope,297.0,576.0,obj2,1
603415af8ffaaa1ada99d014,Mech_Launch_v2_0,73.0,573.0,obj1,1
603415af8ffaaa1ada99d014,Mech_Launch_v2_1,126.0,254.0,obj2,1
603415af8ffaaa1ada99d014,Mech_Launch_v2_2,529.0,575.0,obj2,1
603415af8ffaaa1ada99d014,Mech_Launch_v2_3,131.0,311.0,obj1,1
603415af8ffaaa1ada99d014,Mech_Launch_v2_4,484.0,296.0,obj1,0
603415af8ffaaa1ada99d014,Mech_Launch_v2_4,412.0,280.0,obj1,0
603415af8ffaaa1ada99d014,Mech_Launch_v2_4,482.0,572.0,obj1,1
603415af8ffaaa1ada99d014,Mech_SoClose_0,56.0,486.0,obj3,1
603415af8ffaaa1ada99d014,Mech_SoClose_1,463.0,366.0,obj2,1
603415af8ffaaa1ada99d014,Mech_SoClose_2,165.0,459.0,obj1,1
603415af8ffaaa1ada99d014,Mech_SoClose_3,174.0,327.0,obj1,1
603415af8ffaaa1ada99d014,Mech_SoClose_4,464.0,361.0,obj1,1
603415af8ffaaa1ada99d014,Playground,518.0,313.0,obj3,0
603415af8ffaaa1ada99d014,Playground,533.0,279.0,obj1,0
603415af8ffaaa1ada99d014,Playground,532.0,150.0,obj1,0
603415af8ffaaa1ada99d014,Playground,514.0,552.0,obj1,0
603415af8ffaaa1ada99d014,Playground,553.0,423.0,obj1,0
603415af8ffaaa1ada99d014,Playground,554.0,436.0,obj1,0
603415af8ffaaa1ada99d014,Playground,558.0,333.0,obj1,0
603415af8ffaaa1ada99d014,Playground,532.0,327.0,obj3,0
603415af8ffaaa1ada99d014,Playground,548.0,318.0,obj1,0
612cd2f05da3662ad2de5b36,Basic_1,72.7465,187.254,obj3,0
612cd2f05da3662ad2de5b36,Basic_1,161.746,181.254,obj1,0
612cd2f05da3662ad2de5b36,Basic_1,172.746,192.254,obj2,0
612cd2f05da3662ad2de5b36,Basic_1,153.746,178.254,obj3,0
612cd2f05da3662ad2de5b36,Basic_1,207.746,220.254,obj2,0
612cd2f05da3662ad2de5b36,Basic_1,192.746,219.254,obj2,1
612cd2f05da3662ad2de5b36,Basic_2,560.746,500.254,obj2,0
612cd2f05da3662ad2de5b36,Basic_2,408.746,238.254,obj2,0
612cd2f05da3662ad2de5b36,Basic_2,404.746,232.254,obj3,1
612cd2f05da3662ad2de5b36,Comp_GapCatapult,272.746,91.2535,obj3,0
612cd2f05da3662ad2de5b36,Comp_GapCatapult,282.746,78.2535,obj3,0
612cd2f05da3662ad2de5b36,Comp_GapCatapult,281.746,93.2535,obj1,0
612cd2f05da3662ad2de5b36,Comp_SoCloseLaunch,218.746,250.254,obj2,0
612cd2f05da3662ad2de5b36,Comp_SoCloseLaunch,263.746,264.254,obj3,1
612cd2f05da3662ad2de5b36,Comp_UnboxSlope,466.746,371.254,obj1,0
612cd2f05da3662ad2de5b36,Comp_UnboxSlope,299.746,403.254,obj3,0
612cd2f05da3662ad2de5b36,Comp_UnboxSlope,316.746,397.254,obj1,0
612cd2f05da3662ad2de5b36,Mech_Launch_v2_3,118.746,301.254,obj1,0
612cd2f05da3662ad2de5b36,Mech_Launch_v2_3,129.746,342.254,obj3,1
612cd2f05da3662ad2de5b36,Mech_SoClose_0,64.7465,467.254,obj3,0
612cd2f05da3662ad2de5b36,Mech_SoClose_0,37.7465,490.254,obj1,0
612cd2f05da3662ad2de5b36,Mech_SoClose_0,34.7465,492.254,obj1,0
612cd2f05da3662ad2de5b36,Mech_SoClose_2,155.746,442.254,obj1,0
612cd2f05da3662ad2de5b36,Mech_SoClose_2,188.746,436.254,obj1,0
612cd2f05da3662ad2de5b36,Mech_SoClose_2,172.746,434.254,obj2,0
612cd2f05da3662ad2de5b36,Mech_SoClose_4,508.746,459.254,obj2,0
612cd2f05da3662ad2de5b36,Mech_SoClose_4,508.746,483.254,obj3,0
